NOME,EMAIL,CPF,TELEFONE,GRUPO
Marina Souza,damotalucas@bolcombr,9713462599,8182482061,3
Luna Lopes,eduardomendes@portonet,84521709397,3154877262,1
Isabel Rezende,marinamonteiro@salesbr,10867942576,3154877862,3
Carlos Eduardo Silva,freitasalice@jesuscom,35179802423,8005150113,1
Davi Luiz Ribeiro,rochaanalaura@igcombr,12705983686,3154877264,2
Pietro da Mata,diasguilherme@pintocom,79826403547,3119220676,3
Rodrigo Costela,mouramariacecilia@duartenet,60932147534,1134195832,3
Luiz Fernando Castro,joaovitor73@hotmailcom,46032975134,3154577162,3
Bruno Barros,lucca62@uolcombr,72810534950,3155873262,1
Dra Laura Teixeira,joao95@hotmailcom,58329706400,3199216179,2
Matheus Oliveira,isales@igcombr,59148023698,3193216171,3
Pedro da Cruz,ggoncalves@castroorg,49210387597,6154784219,1
Luna Almeida,pedrohenriquegomes@bolcombr,37580419297,3191216279,2
Letícia Teixeira,beatriz95@bolcombr,75689401366,9003969114,1
Mirella Rocha,lorenafernandes@goncalvescom,28710954341,8003969114,2
Luiza Castro,levi85@nogueiranet,3879251479,8425191894,3
Marcos Vinicius da Luz,davilucca87@pereiracom,13865720986,8469141865,3
João Miguel Araújo,isadoraoliveira@melobr,39678452065,9003369114,2
Sra Mirella Barbosa,nnovaes@alvescom,69408257111,8434322477,3
Luiz Otávio da Paz,amanda52@dabr,79435610820,2166387053,1
